FirstName,LastName,UserID,Password,SSN,DOB,Department,JobTitle,AccessLevel,DateOfHire,Email,Address,City,State,ZipCode,Phone,Cell
Camille,Kim,tSjw2hYY,dagger,744-80-4936,3/3/1993,Human Resources,Human Resources Operations Specialist I - Recruitment & Selection,Associate,5/5/2006,camille.kim@example.com,8464 Elgin St,Somerville,MA,2141,(958)-356-3400,(843)-150-8416
Cathy,Chambers,Qwsfd5ND,coldplay,925-69-0045,6/23/1975,Human Resources,Human Resources Operations Specialist I - Benefits & Compensation,Associate,6/10/2015,cathy.chambers@example.com,5134 Miller Ave,Chelsea,MA,2150,(706)-847-3913,(919)-448-8863
Alice,Burns,nbRWtYc6,pippen,561-51-8991,12/31/1985,Human Resources,Human Resources Operations Specialist I - Training & Development,Associate,9/6/2013,alice.burns@example.com,6200 Frances Ct,Brookline,MA,2447,(499)-428-1225,(285)-781-6633
Terra,Rice,vuo1zJHG,jaguar1,588-01-4839,5/1/1984,Human Resources,Human Resources Operations Specialist I - Attrition & Retention,Associate,1/31/2017,terra.rice@example.com,4083 Walnut Hill Ln,Boston,MA,2222,(644)-226-7760,(730)-364-9997
Andrew,Harrison,oDoCidPt,coyote,311-79-7444,11/27/1975,Human Resources,Human Resources Operations Specialist I - Employee Relations,Associate,2/3/2007,andrew.harrison@example.com,1165 Nowlin Rd,Boston,MA,2467,(134)-726-3105,(594)-564-4935
Isobel,Phillips,XLbl6V9K,babydoll,053-98-0058,1/10/1994,Human Resources,Human Resources Operations Specialist II - Recruitment & Selection,Associate,3/16/2010,isobel.phillips@example.com,5790 Depaul Dr,Cambridge,MA,2238,(159)-618-8485,(303)-057-1028
Francis,Holt,m5kYwx5P,liverpool,759-92-3183,1/3/1989,Human Resources,Human Resources Operations Specialist II - Benefits & Compensation,Associate,7/27/2015,francis.holt@example.com,9675 Hamilton Ave,Boston,MA,2297,(727)-976-0723,(374)-327-6518
Josephine,Graham,3vGwUNjj,gidget,518-16-9933,2/20/1995,Human Resources,Human Resources Operations Specialist II - Training & Development,Associate,1/14/2018,josephine.graham@example.com,113 Avondale Ave,Boston,MA,2205,(116)-280-0885,(521)-368-1122
Brad,Hale,QFu2Ydv1,pegasus,723-62-5639,12/14/1983,Human Resources,Human Resources Operations Specialist II - Attrition & Retention,Associate,5/17/2006,brad.hale@example.com,2778 Elgin St,Boston,MA,2109,(478)-570-3141,(834)-093-4728
Irma,Duncan,qabMRJqu,bangbang,445-47-6188,1/31/1993,Human Resources,Human Resources Operations Specialist II - Employee Relations,Associate,4/9/2007,irma.duncan@example.com,5515 Wycliff Ave,Medford,MA,2153,(861)-391-6567,(147)-155-7869
Henry,Wheeler,cS11zRLx,abcd1234,302-59-4801,7/19/1965,Human Resources,Human Resources Operations Team Manager,Management,11/11/2011,henry.wheeler@example.com,4708 W 6Th St,Boston,MA,2124,(537)-515-7108,(292)-010-3183
Amelia,Chavez,yAx2CwBG,catwoman,233-79-5819,11/5/1979,Human Resources,Human Resources Analyst,Management,4/8/2008,amelia.chavez@example.com,1558 Cackson St,Chelsea,MA,2150,(331)-172-0220,(543)-766-2375
Kristina,Mason,DYFnAZWn,salami,707-36-5239,3/22/1982,Human Resources,Human Resources Generalist,Management,12/19/2007,kristina.mason@example.com,7688 Spring St,Somerville,MA,2145,(879)-641-5098,(640)-866-6108
Rita,Mitchell,jc8bAG9H,furball,057-95-0702,12/17/1968,Human Resources,Human Resources Director,Management,6/16/2003,rita.mitchell@example.com,7974 Adams St,Cambridge,MA,2134,(979)-250-5286,(136)-817-3584
